First Author,Year,Country,Design,Outcome,Population - Primary,Population - Original,Risk Factor - Category,Risk Factor - Primary,Risk Factor - Secondary,Risk Factor - Original,Comparator,Estimator,Size Effect,Confidence Interval,P Value,Paper Title,Paper DOI,Paper PMID,Paper Web Link
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Gender,Man/Male/Boy,Man,Men,Women,HR,2.069,"CI95 [1.908, 2.243]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12990,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Psychiatric and Mental Health Conditions,Depression severity,Depression severity: Severe without psychotic symptoms ,Depression severity: Severe without psychotic symptoms ,Moderate,HR,1.188,"CI95 [1.083, 1.303]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12991,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Psychiatric and Mental Health Conditions,Depression severity,Depression severity: Clinical diagnosis of psychotic depression,Depression severity: Psychotic depression,Moderate,HR,1.451,"CI95 [1.301, 1.619]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12992,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Substance Use and Addictions,Alcohol use and disorder,Alcohol dependence,Alcohol dependence,,HR,1.261,"CI95 [1.129, 1.409]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12993,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Non-fatal suicidal behaviors,SA,SA at hospital admission,Suicide attempt at admission,,HR,2.11,"CI95 [1.862, 2.391]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12994,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Non-fatal suicidal behaviors,SA,SA during previous 4 years,Suicide attempt during previous 4 years,,HR,2.111,"CI95 [1.845, 2.415]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12995,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Education,High school,Upper secondary school ,Education: Upper secondary,Basic,HR,1.147,"CI95 [1.049, 1.253]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12996,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Education,Higher education,Tertiary education,Education: Tertiary,Basic,HR,1.295,"CI95 [1.160, 1.445]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12997,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Income and Socioeconomic Status,High income or socioeconomic position,Income: Highest third,Income: Highest third,Lowest third,HR,1.191,"CI95 [1.068, 1.329]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12998,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized adult patients with a principal diagnosis of depressive disorder,Living Condition,Living situation,Living alone,Living alone,,HR,1.124,"CI95 [1.029, 1.227]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.12999,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Psychiatric and Mental Health Conditions,Depression severity,Depression severity: Severe without psychotic symptoms ,Depression severity: Severe without psychotic symptoms ,Moderate,HR,1.23,"CI95 [1.095, 1.382]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13000,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Psychiatric and Mental Health Conditions,Depression severity,Depression severity: Clinical diagnosis of psychotic depression,Depression severity: Psychotic depression,Moderate,HR,1.47,"CI95 [1.276, 1.694]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13001,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Substance Use and Addictions,Alcohol use and disorder,Alcohol dependence,Alcohol dependence,,HR,1.147,"CI95 [1.008, 1.306]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13002,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Non-fatal suicidal behaviors,SA,SA at hospital admission,Suicide attempt at admission,,HR,2,"CI95 [1.700, 2.355]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13003,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Non-fatal suicidal behaviors,SA,SA during previous 4 years,Suicide attempt during previous 4 years,,HR,2.116,"CI95 [1.783, 2.510]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13004,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Education,High school,Upper secondary school ,Education: Upper secondary,Basic,HR,1.128,"CI95 [1.010, 1.260]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13005,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Income and Socioeconomic Status,High income or socioeconomic position,Income: Highest third,Income: Highest third,Lowest third,HR,1.169,"CI95 [1.018, 1.343]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13006,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized male adult patients with a principal diagnosis of depressive disorder,Living Condition,Living situation,Living alone,Living alone,,HR,1.165,"CI95 [1.044, 1.301]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13007,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized female adult patients with a principal diagnosis of depressive disorder,Psychiatric and Mental Health Conditions,Depression severity,Depression severity: Clinical diagnosis of psychotic depression,Depression severity: Psychotic depression,Moderate,HR,1.423,"CI95 [1.198, 1.692]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13008,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized female adult patients with a principal diagnosis of depressive disorder,Substance Use and Addictions,Alcohol use and disorder,Alcohol dependence,Alcohol dependence,,HR,1.647,"CI95 [1.338, 2.026]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13009,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized female adult patients with a principal diagnosis of depressive disorder,Non-fatal suicidal behaviors,SA,SA at hospital admission,Suicide attempt at admission,,HR,2.248,"CI95 [1.849, 2.733]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13010,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized female adult patients with a principal diagnosis of depressive disorder,Non-fatal suicidal behaviors,SA,SA during previous 4 years,Suicide attempt during previous 4 years,,HR,2.083,"CI95 [1.673, 2.592]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13011,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized female adult patients with a principal diagnosis of depressive disorder,Education,High school,Upper secondary school ,Education: Upper secondary,Basic,HR,1.177,"CI95 [1.013, 1.369]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13012,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized female adult patients with a principal diagnosis of depressive disorder,Education,Higher education,Tertiary education,Education: Tertiary,Basic,HR,1.536,"CI95 [1.295, 1.823]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13013,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aaltonen,2019,Finland,Cohort,SC,Individuals suffering from depression,First-hospitalized female adult patients with a principal diagnosis of depressive disorder,Income and Socioeconomic Status,High income or socioeconomic position,Income: Highest third,Income: Highest third,Lowest third,HR,1.207,"CI95 [1.011, 1.442]",,Risk factors for suicide in depression in Finland: first-hospitalized patients followed up to 24 years,10.1111/acps.13014,30480317,https://pubmed.ncbi.nlm.nih.gov/30480317/
Aiken,2019,USA,Cohort,Change in SI from baseline to 6 months,Relatives of persons who suffer from a psychiatric disorder,Families of adolescents hospitalized following a SA and families of matched psychiatric controls,Gender,Man/Male/Boy,Boy,Gender: Boys (Mother behaviours model),Girls,Unstandardized weight,-0.34,,< 0.05,Observed Interactions in Families of Adolescent Suicide Attempters,10.1111/sltb.12423,29194697,https://pubmed.ncbi.nlm.nih.gov/29194697/
Aiken,2019,USA,Cohort,Change in SI from baseline to 6 months,Relatives of persons who suffer from a psychiatric disorder,Families of adolescents hospitalized following a SA and families of matched psychiatric controls,Psychiatric and Mental Health Conditions,Characterized depressive disorder,Depression,Depression (Mother behaviours model),,Unstandardized weight,-0.04,,< 0.05,Observed Interactions in Families of Adolescent Suicide Attempters,10.1111/sltb.12424,29194697,https://pubmed.ncbi.nlm.nih.gov/29194697/
Aiken,2019,USA,Cohort,Change in SI from baseline to 6 months,Relatives of persons who suffer from a psychiatric disorder,Families of adolescents hospitalized following a SA and families of matched psychiatric controls,Gender,Man/Male/Boy,Boy,Gender: Boys (Father behaviours model),Girls,Unstandardized weight,-0.48,,< 0.01,Observed Interactions in Families of Adolescent Suicide Attempters,10.1111/sltb.12425,29194697,https://pubmed.ncbi.nlm.nih.gov/29194697/
Aiken,2019,USA,Cohort,Change in SI from baseline to 6 months,Relatives of persons who suffer from a psychiatric disorder,Families of adolescents hospitalized following a SA and families of matched psychiatric controls,Gender,Man/Male/Boy,Boy,Gender: Boys (Adolescents with mother model),Girls,Unstandardized weight,-0.38,,< 0.05,Observed Interactions in Families of Adolescent Suicide Attempters,10.1111/sltb.12426,29194697,https://pubmed.ncbi.nlm.nih.gov/29194697/
Aiken,2019,USA,Cohort,Change in SI from baseline to 6 months,Relatives of persons who suffer from a psychiatric disorder,Families of adolescents hospitalized following a SA and families of matched psychiatric controls,Psychiatric and Mental Health Conditions,Characterized depressive disorder,Depression,Depression (Adolescents with mother model),,Unstandardized weight,-0.05,,< 0.05,Observed Interactions in Families of Adolescent Suicide Attempters,10.1111/sltb.12427,29194697,https://pubmed.ncbi.nlm.nih.gov/29194697/
Aiken,2019,USA,Cohort,Change in SI from 6 to 24 months,Relatives of persons who suffer from a psychiatric disorder,Families of adolescents hospitalized following a SA and families of matched psychiatric controls,Coping and Problem Solving,Problem Solving,Problem solving constructiveness: more constructive than unconstructive,Problem solving constructiveness: more constructive than unconstructive (Mother behaviours model),More unconstructive,Unstandardized weight,-0.17,,< 0.05,Observed Interactions in Families of Adolescent Suicide Attempters,10.1111/sltb.12428,29194697,https://pubmed.ncbi.nlm.nih.gov/29194697/
